Name,Department,Rating,Would Take Again,Level of Difficulty
David Ramos,Communication,4.5,95%,1.9
Jing Zhang,Marketing,4.3,89%,2.8
Alen Yaghoubi,Counselor Education,4.3,78%,1.1
Anna Demarchi,French,5.0,100%,2.7
Hadley Debrine,Mathematics,3.7,100%,3
Christopher Fathman,English & Comparative Lit.,5.0,100%,4.3
Sabina Giri,Social Science,4.0,100%,2.5
Mohammed Ameen,Mechanical Engineering,3.5,100%,2
Mahesh Rajan,Marketing,3.3,41%,3
Greg Hanle,Economics,4.2,72%,2.8
Eleanor Marsh,Spanish,4.7,100%,1.4
Nathaniel Lupton,Business,3.3,60%,3.5
Albert Chang,Mathematics,3.6,67%,2.3
Ammar Rayes,Industrial Engineering,4.7,100%,2
Krissy Connell,Child Development,3.3,60%,3.6
Regina Arnold,English amp Comparative Lit.,4.6,100%,2.5
Dennis Estrada,Justice Studies,4.7,100%,1.7
Saptarshi Sengupta,Computer Science,4.5,100%,3.5
Dina Kameda,Justice Studies,3.8,58%,3
Patrick Murphy,Mathematics,4.5,93%,3.1
Jeffrey Hare,Urban & Regional Planning,2.5,50%,3.5
Emily Slusser,Child Development,4.7,100%,2.3
Darwyyn Deyo,Economics,3.1,50%,3.8
Sina Aboutorabi,Technology,2.2,30%,3.5
Amir Armani,Mechanical Engineering,1.8,23%,4.6
Timothy Cech,English & Comparative Lit.,4.0,67%,3
Misako Van Der Poel,Mathematics,2.8,29%,3.7
Komal Sanjaykumar Joshi,Mathematics,3.3,55%,3
Midori Ishida,Japanese,5.0,100%,2.9
Ryan Kim,Justice Studies,2.8,50%,4.3
Maryam Khazaei Pool,Computer Science,3.0,50%,2.5
Ashraf Shirani,Business,3.3,46%,2.6
Laura Pirazzi,Child Development,4.5,97%,2
Craig Cisar,Kinesiology,3.6,53%,2.9
Jennifer Schachner,Physical Ed,4.9,100%,1.2
David De Lorenzo,Library & Information Science,3.6,69%,2.2
John Diniz,Chemistry,3.2,58%,3.3
Leif Rogers,Communication,4.1,84%,2.6
Matthew Crockett,Kinesiology,4.5,94%,2.3
Rose Wang,Chemistry,2.7,46%,3.6
Mary Evangeliste,Library & Information Science,3.8,67%,2
Wil Doane,Library & Information Science,1.5,0%,3.3
"Xiao ""Rose"" Wang",Chemistry,2.0,0%,4
Andrea Gottlieb,Mathematics,3.7,64%,2.8
Slobodan Simic,Mathematics,4.4,79%,3
Duorah Smita,Materials Engineering,3.1,65%,3.5
David Ocampo,Mass Communications,3.4,69%,2.6
Katharine Studer,English & Comparative Lit.,4.2,67%,2.3
Radha Aravamudhan,Aerospace Studies,4.8,100%,2
Ray Buyco,History,4.4,83%,2.7
Leanne Lindelof,English,3.8,72%,3.2
Lienanh Mai,Health Science,3.3,50%,2.3
Laurie Steinberg,Nutrition & Foods,4.4,96%,2.1
Lucinda Cabral,Linguistics,2.2,28%,3.7
Tan V. Nguyen,Electrical Engineering,2.9,67%,2.9
Panteha Pour,Business,4.8,100%,3.2
Mary Halll,Nutrition & Foods,4.4,80%,2.8
Hien Do,Asian Studies,3.5,29%,3
Sayma Akther,Computer Science,2.9,45%,2.6
Rebecca Kling,American Studies,4.6,88%,1.8
Beth Dawson,Biology,3.6,42%,3.5
Susan Lambrecht,Biology,4.1,100%,2.8
Scott Shaffer,Biology,4.4,100%,2.8
Yuching Yang,English amp Comparative Lit.,2.0,27%,3.6
Ursula Holzmann,Biology,3.1,60%,2.4
Jessica Vardaro,Biology,3.3,67%,3.7
Mithila Guha,Marketing,4.2,80%,2.8
Kathleen Cahill,Nutrition & Foods,3.2,29%,2.9
Brenda Serrano,Chemistry,4.7,95%,2.2
Inez Yuwanita,Biology,3.2,62%,2.8
Paul Houck,Physics,2.7,36%,3.7
Robin Schulte,Psychology,4.3,88%,2
Colleen Greene,Library Information Science,2.6,29%,4.6
Suhas Chelian,Computer Science,4.7,100%,2.7
Kathleen Raiff,Communication Studies,4.8,95%,2.1
Drew Todd,"Radio, TV & Film",4.6,93%,2
Mary Currin-Percival,Political Science,4.0,80%,2.7
Wendy Lee,Computer Science,4.7,100%,2.9
Barnaby Dallas,"Radio, TV & Film",4.7,100%,2.1
Ken Youssefi,Engineering,3.7,62%,2.2
Chi-Hsiu Weng,Physical Ed,2.8,50%,3
Vasuda Bhatia,Engineering,4.5,84%,2.8
Jane Brown,Design,0.0,N/A,0
John Jabagchourian,Child Development,4.5,79%,3
Colton Saylor,English & Comparative Lit.,4.8,95%,2.4
Supreeta Amin,Industrial Engineering,3.8,67%,3.2
Anil Kumar,Industrial Engineering,2.1,22%,4.4
Kyle Hambrook,Mathematics,2.9,40%,4
Jacques Watkins,African-American Studies,4.1,56%,1.7
Maxine Shao,Physics,4.2,92%,1.9
Richard Sinn,Computer Engineering,3.6,69%,3.2
Viviana Sanchez Chopitea,Anthropology,3.0,42%,3.2
David Parent,Electrical Engineering,2.3,35%,3.9
Robert Sibley,Marketing,4.2,71%,2.7
James Fonda,Kinesiology,4.4,92%,1.9
Ricky Chan,Computer Science,2.4,48%,1.9
Jongwook Sung,Business,3.2,58%,2.6
Nathan Shugan,English & Comparative Lit.,3.8,72%,2.5
Bhawandeep Harsh,Electrical Engineering,4.7,93%,2.1
Yue Luo,Engineering,4.8,100%,2
Janin Guzman Morales,Environmental Studies,4.0,100%,1
Vidya Rangasayee,Computer Science,2.6,30%,4
Donald Reed,Geology,2.2,20%,4.2
Tessa Rogers,Kinesiology,2.0,0%,4
Harish Hiriyannaiah,Engineering,1.0,0%,5
Chris Cox,Sociology,4.6,95%,2.1
Pamela Wells,Business,4.2,73%,2.6
Miwa Merz,Marketing,3.9,70%,2.3
Fahmida Fakhruddin,Economics,2.6,31%,3.6
Emmanuel Watkins,African-American Studies,4.9,95%,1.5
Paul Ellison,Music,4.6,100%,1.5
Arlene Asuncion,Psychology,4.4,65%,2.9
Nader Mir,Electrical Engineering,4.5,88%,2.8
Marjan Khatibi,Design,4.7,100%,2.5
Ming Zhou,Business,3.5,35%,3.1
Allison Katsev,History,4.5,85%,2.5
Dan Landayan,Biology,1.6,10%,4.6
Younghee Park,Computer Engineering,3.9,63%,3
Syed Zaidi,Mechanical Engineering,3.1,47%,4.1
Ari Cushner,Humanities,3.3,63%,2.5
Hussameddine Kabbani,Mechanical Engineering,4.5,85%,2.6
Mohamed Soliman,Mechanical Engineering,4.3,90%,3.3
Karina Camacho,English Comparative Lit.,3.3,80%,3.4
Philip Heller,Computer Science,4.1,77%,2.8
Walter Van Hooff,Business,3.6,63%,2.9
Kathleen McSharry,English & Comparative Lit.,2.8,40%,3
Matthew Bejar,Kinesiology,4.1,75%,2
Ravindra Thadani,Business,4.8,100%,2.4
Kristina Le,Design,3.0,50%,4
Michael Vartanian,Mathematics,3.2,74%,2.6
Essam Marouf,Electrical Engineering,4.3,45%,3.1
Chao-Li Tarng,Computer Engineering,4.1,77%,3.1
Natalie Birthelmer,Justice Studies,3.2,57%,3.7
Paul Kutler,Engineering,3.8,80%,3.3
Salman Tahsin,Accounting & Finance,4.3,80%,2.9
James O'Brien,Economics,4.8,100%,1.6
Terry Thompson,Hospitality,3.8,71%,2.3
Gregory Hanle,Economics,4.0,66%,3.2
Mostafa Mortezaie,Technology,2.5,31%,3.5
Sam Koosha,Civil Engineering,3.0,50%,3.2
Dennis Frezzo,Technology,2.1,20%,3.9
Jordan Ellis,English & Comparative Lit.,5.0,100%,2
Bill Saichek,Technology,4.0,100%,2
Viet Nguyen,Mathematics,3.3,66%,3.2
Suzy Ross,Recreation,2.8,0%,3
Plamen Koev,Mathematics,3.2,58%,3.2
Ken Wharton,Physics,3.3,40%,3.9
Gregory Savage,Psychology,3.7,72%,1.8
Robert-Morelos Zaragoza,Electrical Engineering,4.3,100%,2.6
Benjamin Anderson,Accounting,4.4,95%,4.3
Cheryl Roddick,Mathematics,4.5,67%,2.3
W. Richard Chung,Materials Engineering,3.2,0%,3.6
Katerina Spaeth,Art & Design,4.4,85%,4.5
Yazdan Razi,Chemical Engineering,1.7,23%,3.4
Sophie Aust,Writing,5.0,100%,1.3
Sandra Ruiz,Education,1.5,0%,3.5
Jalel Rejeb,Electrical Engineering,3.0,29%,3.7
Scott Phillabaum,Linguistics,4.5,95%,2.8
Javier Valencia,Engineering,4.7,100%,1.7
Yvonne Maxwell,Social Work,3.2,50%,2.5
Frank Ortega,African-American Studies,4.8,100%,1.9
Deborah Abbott,Business,4.6,78%,2.3
Gary Castro,Marketing,4.4,87%,2.5
Allison Harness,Biology,2.9,53%,3.3
John Clapp,Art & Design,4.5,63%,4.5
Patrick Cravalho,Psychology,4.5,89%,2.3
Au-Co Tran,English amp Comparative Lit.,4.7,93%,2.4
Danijela Dudley,Political Science,4.1,87%,3.1
LeAnne Teruya,Geology,4.3,92%,2.5
Amarissa Mathews,Communication Studies,2.9,39%,3
Maria Basile,Dance,4.2,80%,2.1
Philip Bair,Communication,4.7,95%,1.9
Janet Kitajima,English & Comparative Lit.,4.6,87%,1.7
Leann Hill,Design,4.3,94%,2.9
Lisa Chaudoin,Nutrition & Foods,4.0,79%,2.6
Patralekha Ukil,Economics,4.9,100%,1.9
Alayna Mills,English & Comparative Lit.,3.9,58%,2.5
Yu Chen,Business,4.5,79%,2.5
Yan Wu,Business,4.7,100%,3
Jalal Sarabadani,Business,4.9,90%,2.7
Colin Onita,Accounting,3.8,80%,2.3
Teresa Veramendi,Theater,4.5,84%,2.2
Fernando Mora,Mathematics,4.7,100%,2.7
Michael Jordan,Philosophy,4.8,98%,2.1
Rona Halualani,Communication,4.8,100%,2.9
Phil Hawkins,Biology,2.9,30%,3.7
Stanley Butler,Kinesiology,1.6,17%,4.4
Magdalini Eirinaki,Computer Engineering,4.3,92%,2.9
Ping Hsu,Electrical Engineering,2.9,29%,3.6
Yvonne Kwan,Asian American Studies,4.4,84%,2.9
Daniel Brinkman,Mathematics,4.4,95%,2.5
Ashlee Gossard,Nutrition & Foods,4.2,71%,2.7
Scott Cummins,Theater,5.0,100%,1.4
Kevin Smith,Computer Science,4.2,77%,3.2
Jillian Murphy,English & Comparative Lit.,4.8,100%,2.2
Lisa Houde,Library & Information Science,4.8,80%,3.9
Arthur Zarate,Humanities,3.6,67%,2.9
Ashley Seering,"Radio, TV & Film",5.0,100%,1
Ayam Nouiouat,Health Science,5.0,100%,4
Effie Chiu,English & Comparative Lit.,4.6,100%,2.2
Jesse Geneson,Mathematics,4.9,100%,2.6
John Tang,Civil Engineering,4.4,84%,2.3
Yolanda Wiggins,Sociology,4.3,75%,2.7
Rula Khayrallah,Computer Science,4.3,79%,3.5
Mary Ann Harlan,Library Science,3.6,80%,3.6
Megan Price,Library & Information Science,4.7,89%,2.3
Maipeng Wei,Psychology,4.0,60%,1.6
Daryl Miranda,Chemistry,5.0,100%,1.8
John Russo,Music,4.3,100%,1.7
Steve Del Chiaro,Psychology,4.0,78%,2.4
Gong Chen,Physical Ed,4.4,87%,1.5
Richard Sessions,Business,3.5,53%,3.5
Bud Ayers,Kinesiology,4.0,65%,1.9
Steve Tash,Library Science,4.3,75%,2.6
James Capurso,Communication Studies,4.7,87%,1.9
Tahir Issa,Mathematics,1.8,23%,4.3
Katherine Wilkinson,Biology,3.5,65%,3.7
Loc Lam,Computer Science,4.4,78%,2.3
Jennifer Pearlman,Child Development,3.7,75%,2.4
Elizabeth Carroll,Art History,3.0,50%,3.3
Zongchao Li,Mass Communications,4.7,90%,2.2
Souvick Ghosh,Library & Information Science,2.5,20%,3.7
Megan Schlegel,Justice Studies,4.7,100%,2
Kaitlin Cannava,Communication,3.6,63%,2.3
Faustina DuCros,Sociology,3.8,60%,2.9
Owen Aurelio,Art & Design,4.8,100%,3
Seshadri Paravatsu,Business,4.3,75%,2.8
Nicholas Hightower,Aviation & Technology,5.0,100%,2
Ryan Eways,Art,5.0,100%,3
Mark Pasion,Sociology,4.9,91%,1.8
Niloo Salehi,Chemistry,2.9,26%,3.4
Cary Feria,Psychology,3.8,64%,2.9
Bobby Seals,African-American Studies,4.5,81%,1.7
Ume Ali,English amp Comparative Lit.,5.0,100%,2.2
Leslie Corona,History,3.8,70%,2.7
Chelsea Criez,English & Comparative Lit.,4.7,90%,1.7
Nick Taylor,English,4.9,84%,1.7
Mokhtar Zoubeidi,Mathematics,4.8,89%,1.8
Thomas Hornig,Music,2.2,30%,2.8
Raquib Khan,Mechanical Engineering,2.3,45%,2.9
Jeffrey Lewis,Music,4.1,40%,1.9
Désia Bacon,Psychology,4.1,72%,3
Tonya Nilsson,Civil Engineering,4.4,100%,3.3
Kim Clark,"Radio, TV & Film",5.0,100%,1.3
José Ramirez,Chemistry,5.0,100%,2.5
Jaudai Lopes,Kinesiology,5.0,100%,1
Kenneth Peter,Political Science,4.7,93%,3.1
Claudio Vera Sanchez,Justice Studies,4.9,100%,3.7
Julian Vogel,Accounting & Finance,4.8,92%,2.9
Amna Jaffer,Counselor Education,4.6,95%,1.7
April Wood,Nursing,2.5,17%,3.6
Craig England,Materials Engineering,3.1,50%,3.8
Jacques Ginestet,Engineering,3.3,50%,3.8
Mojgan Haririfar,Nursing,4.8,100%,1.5
Maria Bullen,Business,4.0,100%,2.7
Lexygius Calip,Art History,4.5,100%,1.5
Josh Watson,Aviation,5.0,100%,2.5
David McFeely,Business,2.0,26%,4
Elizabeth Mullen,Business,3.5,58%,3.1
Chunlei Wang,Business,4.0,69%,2.6
Mike Williams,Accounting,4.2,82%,3.3
Edgar Bering,Mathematics,2.7,29%,4.6
Janet Bang,Child Development,5.0,100%,2.2
Mara Skov,Art amp Design,5.0,100%,3
Riana Betzler,Philosophy,4.4,80%,2.8
Srinidhi Senthil,Accounting & Finance,4.8,100%,2.2
Kristoffer Borgen,Aviation,5.0,100%,3
Marion Beach,Education,4.3,84%,2.7
Sandy Ho,Counselor Education,4.2,100%,1.5
Balaji Venkatraman,Electrical Engineering,3.7,67%,1.8
Megan Foster,Health Science,5.0,100%,1.4
Rebeca Burciaga,Education,2.3,0%,3.3
Zepecki Carol,Communication Disorders,5.0,100%,2
Shukura Umi,Health Science,5.0,100%,1
Steve Lin,Music,4.0,69%,2.1
Kourosh Amirkhani,Accounting,4.0,69%,4.1
Usiel Meraz Cerna,History,3.2,48%,3.5
Mike Benveniste,Humanities,4.3,75%,3.8
Mark Van Selst,Psychology,2.8,15%,3.7
Eileen MacKusick,Nutrition & Foods,3.3,47%,2.7
Rahmon Pashtunyar,Communication,4.4,84%,2.6
Tasha Reddy,Meteorology,4.5,88%,2
Sreenivasan Balasubramanian,Chemistry,2.4,50%,3.4
Ada Marquez,Environmental Studies,3.4,73%,3.2
John Leih,English,3.0,50%,3.1
Kate Metcalf,Music,4.2,78%,1.7
Inbar Vanek,Nutrition & Foods,4.6,80%,2.3
Teresa Estrabao,Spanish,3.4,60%,2.9
Kaikai Liu,Computer Engineering,2.6,29%,3.6
Roni Abusaad,Justice Studies,4.2,75%,3.3
Joseph Disalvo,Justice Studies,3.8,67%,2.1
Peter Rodriguez,Kinesiology,3.1,25%,4
John Halushka,Justice Studies,4.9,100%,1.9
Laura Kapitzky,Chemistry,4.1,86%,3.1
Amna Yusuf,English & Comparative Lit.,4.4,86%,2.1
Athira Sarath,Health Science,2.8,40%,3.4
Andrew Totah-McCarty,Physics,4.8,100%,3
Yasmeen Abdeljabbar,Writing,2.5,25%,3.5
Angie Mendoza,Communication,4.7,100%,1
Varun Kashyap,Engineering,1.0,0%,5
Saili Kulkarni,Special Education,0.0,N/A,0
Robin Love,Child Development,3.6,32%,3.6
Kevin Moore,Linguistics,3.7,38%,2.3
Jian Zhang,Accounting,2.8,36%,3.6
Janet Tan,Business,2.7,49%,3
Preston Rudy,Sociology,4.2,50%,3.4
Angela Tran,Mathematics,3.6,48%,2.7
Soma de Bourbon,Sociology,4.9,100%,2
Lucy Headrick,Business,5.0,100%,1.9
Anna Jeong,Accounting,1.9,25%,4
Steven Tash,Library & Information Science,4.7,100%,2.6
David Ensminger,Biology,5.0,100%,2.3
Neel Desai,Geology,5.0,100%,1.3
Adam Shiverdecker,Art amp Design,5.0,100%,2
Alicia Hammond,Library amp Information Science,2.7,34%,3
Freddy Delgado,Aviation,5.0,100%,1.3
Fredrick Larabee,Biology,5.0,100%,2
Jean Benoit Levy,Art & Design,2.6,39%,3.6
Sara Benson,Political Science,4.7,97%,2.8
Erik Friedman,Art & Design,4.8,100%,1.8
Amanda Feldman,Anthropology,4.6,89%,2.2
Bettina Brockmann,Communication,4.1,72%,2
Janie Scott,Dance,4.0,75%,2.6
Gregory Hom,Design,3.9,77%,3.2
Eduardo Chan,Mechanical Engineering,2.5,23%,3.9
Angela Castillo,Social Science,3.9,67%,2.5
Jane Park,Mathematics,1.3,9%,1.7
Morgan McKnight,Communication,4.1,80%,2.9
Philip Krayna,Art amp Design,3.7,67%,3.3
Samantha Peek,Justice Studies,4.4,100%,2.4
Noura Wedell,Art History,4.2,84%,1
Sandra Brown,Humanities,5.0,100%,1.8
Mihwa Choi,Asian Studies,3.3,50%,3.8
Sarah Buckius,Art & Design,4.0,100%,2
Hidefumi Katsuura,Mathematics,1.9,11%,4.5
Subhankar Dhar,Business,2.9,25%,2.6
Brian Oliveira,Psychology,2.9,48%,3.6
Steve Durie,Art & Design,3.3,46%,3.6
Anthony Raynsford,Art History,3.9,50%,2.5
Phillip Hawkins,Biology,3.0,52%,4.1
Katherine Chilton,History,3.9,78%,2.5
Damon Moon,Organization Management,3.8,71%,2.7
Joao Santos,Geology,4.5,89%,1.7
Robin Sacolick,Music,3.7,65%,1.6
Hyojin Lee,Marketing,4.6,95%,2.7
Thomas Austin,Computer Science,4.8,100%,3.6
Shahrzad Khosrowpour,Library & Information Science,3.6,54%,2.7
Ellyssa Valenti,Library Information Science,4.0,60%,2.9
Lili Luo,Library Science,3.7,67%,2.8
Adam Kochanski,Meteorology,4.7,89%,2.6
Ulia Gosart,Library & Information Science,2.6,40%,4.2
Lamont Williams,Kinesiology,5.0,100%,3
Jerry Gao,Computer Engineering,2.1,3%,3.4
Rachel Lazzeri-Aerts,Environmental Studies,3.4,47%,3
Tommy Mouton,English Comparative Lit.,3.7,53%,3.7
Egbe-Etu Etu,Business,4.7,94%,3.2
Keith Pinto,Physical Ed,4.7,91%,1.5
Diana Seah,Design,3.5,40%,2.6
Meghna Soni,Human Development,5.0,100%,1.6
Lesley Wiley,Nutrition & Foods,4.7,88%,1.8
Beth McMurray,Communication Studies,5.0,100%,1.6
Simmony Baran,"Radio, TV & Film",3.3,84%,1.3
Alejandro Artiga-purcell,Environmental Studies,5.0,100%,1.5
Michael Hill,Business,5.0,100%,3
Gustavo Almada,Biology,4.0,100%,3
Apryl Berney,History,4.5,84%,2.3
Angelina Loyola,Chicano Studies,5.0,100%,1.2
Kevin Kellog,Science,5.0,100%,2
Nica Tanaka,English & Comparative Lit.,5.0,100%,2
Alicia Mullens,Meteorology,4.8,97%,1.9
Noah Friedman-Biglin,Philosophy,2.7,44%,3.7
Ishmael Hoover,Art & Design,4.0,84%,3.7
Sydney Sun,Art & Design,4.3,100%,1.7
Zehlia Babaci-Wilhite,English amp Comparative Lit.,4.1,76%,2.5
Jessica Chin,Kinesiology,3.1,69%,3.3
Anne-Marie Moore,Civil Engineering,3.0,34%,4.3
Gina Firenzi,Communication Studies,4.5,64%,2.7
Revathi Krishnaswamy,English,3.7,67%,3
Yacoub Moussa,Accounting,4.5,85%,3.7
Jason Ventura,Psychology,4.9,98%,2.7
Allison Johnson,English amp Comparative Lit.,4.3,90%,2.6
Robert Knight,Mathematics,4.9,93%,1.7
Igor Tyukhov,Mechanical Engineering,3.0,50%,2.8
Francoise Herrmann,French,5.0,100%,1.5
Tiana Arenas,Biology,5.0,100%,2
William Doane,Library & Information Science,1.0,0%,3
Nitin Aggarwal,Business,4.2,93%,2.2
Soly Paterson,Health Science,2.9,47%,2.1
Nikole Trainor,Health Science,3.2,48%,3
Monica Van Den Dool,Art & Design,3.9,78%,2.5
Hahn Koo,Linguistics,4.7,91%,1.7
Hsin-Yi Meng,Computer Engineering,2.6,44%,3.9
John Delacruz,Journalism,4.0,50%,2.2
Ralph Nichols,Mass Communications,3.8,82%,3.1
Kohar Scott,Art amp Design,3.1,58%,3.6
Ali Tohidi,Mechanical Engineering,2.8,50%,3.7
Nadine Ferguson,Computer Science,3.4,59%,3.6
Michelle Burns,Counselor Education,4.7,88%,1.5
Mayu Loffgren,Japanese,4.9,92%,3.1
Meghan Gorman-DaRif,English amp Comparative Lit.,4.3,75%,3.3
Mark Thompson,English & Comparative Lit.,5.0,100%,2.5
Dallas Augustine,Justice Studies,5.0,100%,2.3
Jennifer Bean,English amp Comparative Lit.,4.4,77%,2.9
Valerie Chapman,Social Science,2.5,40%,3
Steve R. Perry,Library Science,3.3,79%,3.7
Nancy Selix,Nursing,1.0,0%,2.5
Vivek Agarwal,Business,4.8,90%,2.8
Evan Moustakas,Electrical Engineering,3.1,0%,3.7
Stephen Cash,Business,3.1,47%,2.7
Liz Asborno,English & Comparative Lit.,5.0,100%,2
Mary Juno,Justice Studies,4.7,100%,2.4
Amanda Smith,English Comparative Lit.,4.9,97%,1.6
Gil Zamora,Justice Studies,2.9,54%,3.9
Michelle Wilson,Art amp Design,3.3,34%,2.5
Jonathan Fung,Photography,4.6,88%,1.8
Emily Holmes,Library Information Science,2.9,29%,3.9
Philip Agyapong,Dance,5.0,100%,2
Sang Hea Kil,Justice Studies,4.1,59%,3.9
Farzaneh Ghiasvand,Kinesiology,3.8,77%,2.2
Sharon Qi,Business,3.1,56%,2.3
Michael Edgerton,English & Comparative Lit.,3.4,59%,2.8
Ellen Zheng,Business,1.8,9%,4
Felipe Ponce,Ethnic Studies,4.4,91%,2.1
Lei Cai,Kinesiology,3.2,50%,2.4
Richard McNabb,English & Comparative Lit.,4.5,88%,2.6
Christopher Koelzer,Music,4.0,100%,2
Isabelle Pafford,Art History,4.0,79%,1.6
Scott Brown,Library & Information Science,5.0,100%,2.4
Leah Phillips,Library & Information Science,5.0,100%,1
Carrie N. Gardner,Library Science,2.7,42%,3.9
Amy Caffrey,Psychology,4.9,100%,1.7
Brook McClurg,Humanities,5.0,100%,3
Peter Beyersdorf,Physics,3.8,63%,3
Jeonghee Kim,Electrical Engineering,2.9,67%,3.9
Kathy Werking,Communication,3.6,54%,2.4
Donald Westbrook,Library & Information Science,5.0,100%,2.9
J Michael Martinez,English & Comparative Lit.,1.0,0%,5
Anh-Tuyet Tran,Chemistry,2.4,31%,3.5
Abigail Romero Ramirez,Music,4.9,100%,1.2
Raquel Rodriguez,Spanish,1.7,20%,3.1
Lining Wang,Mathematics,3.6,55%,2.7
Madhu Thummaluru,Civil Engineering,1.1,0%,4
David Bayus,Art & Design,4.3,86%,2.6
Jean-Luc Desalvo,French,2.5,28%,4.1
Benoit Delaveau,Environmental Studies,3.7,60%,3.8
Eugene Hudson,Aviation,1.0,0%,3.3
Ron Sha,Business,3.3,64%,2.9
Estevan Azcona,Chicano Studies,4.3,67%,2.7
Peter O'Sullivan,English,4.1,86%,2.1
Alyce Scott,Library & Information Science,4.7,96%,3.1
Tom Austin,Art & Design,4.5,100%,2.5
Moorea Lippert,Mathematics,4.0,100%,1
Costanza Rampini,Environmental Studies,2.8,42%,3.9
J P Lacrampe,Communication,4.4,80%,2.5
Eileen Peña,Geography,5.0,100%,1.3
Andrea Bechert,Theater,4.7,84%,3.2
Iris Quan,Business,3.5,63%,3.8
Raymond March,Economics,5.0,100%,3.3
Marko Spremo,Business,5.0,100%,4
Li Shen Chong,Psychology,5.0,100%,2
Larry Gee,Business,3.5,75%,2.8
Barbara Murphy-Wesley,Engineering,4.9,95%,1.5
Sotoudeh Hamedi-Hagh,Electrical Engineering,3.6,39%,3.6
Pouya Ostovari,Technology,4.0,75%,2.8
Debra Caires,Computer Science,2.3,32%,3.7
Mary Wilson,History,2.7,35%,4
Jihyun Lee,Kinesiology,4.4,80%,2
Jesi Faust,Sociology,3.3,50%,2
Lilly Chen,English & Comparative Lit.,4.9,100%,2.1
Aaron Schmidt,Library Information Science,2.3,34%,3.7
Tracy Elliott,Library & Information Science,1.2,8%,4.6
Karin Jeffery,Psychology,5.0,100%,1.4
Maria Judnick,English,2.6,0%,3.7
Wayne Disher,Library Information Science,4.0,70%,2.9
Christopher Smallwood,Physics,4.3,84%,2.7
Paul Nguyen,Computer Engineering,2.6,37%,4.2
Daoping He,Business,3.5,77%,2.9
Ginevra Scherini,Psychology,4.3,79%,2.1
Chunhui Peng,Chinese,4.1,89%,2.7
Mike Wood,Computer Science,5.0,100%,2.3
Leigh Gleason,Library Information Science,5.0,100%,3.3
Paula Edwards,Nursing,4.5,100%,3.2
Haley Gilchrist,"Radio, TV & Film",4.8,100%,1.6
Edith Borbon,Foreign Languages,4.3,75%,3.1
Sheri Patrick,Nursing,2.0,0%,3.5
Edgar Mora,Aviation & Technology,5.0,100%,1
Michael McThrow,Computer Science,2.3,34%,4.3
Isabella Grimes,Music,3.0,50%,2.5
Qi Yang,Computer Science,1.8,26%,4.3
Prajakti Jayavant,Art amp Design,1.6,13%,3.6
Kurt McMullin,Civil Engineering,3.3,43%,3.5
Younes Shabany,Mechanical Engineering,3.3,45%,4.2
Ryan Skinnell,Writing,4.5,80%,2.5
Patricia Kwan,Business,3.7,78%,2.5
Elizabeth Pacheco Tejada,Justice Studies,2.5,39%,3.6
Tara Duffy,Child Development,3.7,72%,2.6
Michael Randle,Science,2.2,30%,3.5
Quincy McCrary,Anthropology,4.2,82%,2.3
Diana Stover,Journalism,2.8,0%,3.6
Bennett Haffner,Mathematics,5.0,100%,2
Catherine Doyle,Health Science,3.4,65%,3
Melody Barta,Accounting & Finance,4.6,88%,2.6
Xiaohong Quan,Business,2.9,40%,3.3
Neelam Rattan,Psychology,4.5,95%,2
Bryce Westlake,Justice Studies,3.4,40%,2.4
Jeffrey Benson,Music,3.8,20%,2.9
Jila Maleksalehi,Child Development,4.2,75%,2.3
Lee Gilmore,Religious Studies,3.4,50%,3.2
Winncy Du,Mechanical Engineering,2.6,37%,3.3
Shilpa Gupta,Industrial Engineering,5.0,100%,2.2
Rachael French,Biology,3.1,55%,3.8
George Vasquez,History,2.8,34%,4
Mojtaba Sharifi,Engineering,1.7,34%,3.7
Lin Jiang,Mechanical Engineering,2.0,0%,4
Kirsten Schwartz,English amp Comparative Lit.,4.9,100%,1.6
Marie Haverfield,Communication Studies,3.4,60%,3.8
Cristina Tortora,Mathematics,3.5,55%,2.9
Nicholas Gonzalez,Mathematics,3.8,80%,3.4
Mary Pickering,History,4.3,91%,2.6
Peggy Plato,Physical Ed,4.1,34%,3
Dave Chai,Art & Design,3.5,0%,3.6
Mahsa Mahsa Modirzadeh,English & Comparative Lit.,3.8,67%,3
Roberta Spier,Nutrition & Foods,3.1,56%,3.2
Timothy Andriese,Biology,1.0,0%,3.2
Carlos Sanchez,Philosophy,4.5,96%,1.5
Renee N. Jefferson,Library Science,4.4,84%,2.5
Christy Confetti-Higgins,Library & Information Science,3.4,58%,2
Steven Bell,Library & Information Science,4.0,75%,4
William Mongelli,Library & Information Science,3.0,50%,3.5
Jon Pearce,Computer Science,3.4,26%,3.8
Roger Terrill,Chemistry,4.2,75%,2.3
Cameron Chun,Art & Design,3.1,47%,3.6
Pramod Gupta,Science,4.0,100%,1
Roy Okuda,Chemistry,3.2,49%,4.5
Simon Shim,Computer Engineering,3.1,61%,3.4
Sheree Martinek,Justice Studies,4.1,78%,3.1
Casey Smith,Philosophy,4.1,82%,2.2
Thomas Mcnulty,Design,1.0,0%,4.5
Deanna Fassett,Communication Studies,4.8,100%,3.1
Nicole Levine,Kinesiology,4.4,82%,1.9
Rob Mayeda,Meteorology,5.0,100%,1.1
Crystal Megaridis,Library Information Science,2.5,0%,4
